DPW_Node_ID,PUC_Maximo_Asset_ID,System_Use_Code,System_Use,Drain_Type,POINT_X,POINT_Y,Location
372019868,372019868,Default,Undefined,Storm Water Inlet Drain,,,"(-6.812925, 39.25494)"
372019869,372019869,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8125423, 39.2550848)"
372019871,372019871,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8194911, 39.2538846)"
372019876,372019876,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8131438, 39.2593465)"
372019877,372019877,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8138893, 39.2591035)"
372019878,372019878,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8131952, 39.2594534)"
372020548,372020548,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8119686, 39.2598105)"
372020809,372020809,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8119125, 39.2597473)"
372020811,372020811,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8130085, 39.2586325)"
372020812,372020812,Default,Undefined,Storm Water Inlet Drain,,,"(-6.811737, 39.2584923)"
372021416,372021416,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8085905, 39.2549106)"
372021417,372021417,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8086805, 39.2548783)"
372022656,372022656,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8165938, 39.2498165)"
372022675,372022675,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8162586, 39.2547272)"
372022676,372022676,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8162412, 39.2556537)"
372023238,372023238,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8097421, 39.2611592)"
372023241,372023241,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8095944, 39.2607253)"
372023856,372023856,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8158486, 39.2500243)"
372023863,372023863,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8157159, 39.2499883)"
372024113,372024113,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8130601, 39.2590449)"
372024469,372024469,Default,Undefined,Storm Water Inlet Drain,,,"(-6.811839, 39.2597868)"
372066511,372066511,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8193114, 39.2503749)"
372067400,372067400,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8192411, 39.2503558)"
372070002,372070002,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8180464, 39.2439611)"
372070006,372070006,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8180665, 39.2439199)"
372070009,372070009,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8176754, 39.2454096)"
372070012,372070012,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8217342, 39.2397585)"
372306747,372306747,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8166464, 39.2573441)"
372309240,372309240,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8132727, 39.2597395)"
372309242,372309242,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8132799, 39.2597395)"
372309248,372309248,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8154421, 39.259582)"
372309449,372309449,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8194127, 39.2539124)"
372309450,372309450,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8195556, 39.2532552)"
372309935,372309935,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8121272, 39.2547305)"
372312519,372312519,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8176118, 39.2514444)"
372313192,372313192,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8136687, 39.259812)"
372316078,372316078,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8140243, 39.2604594)"
372316079,372316079,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8139002, 39.2604744)"
372316080,372316080,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8146505, 39.2600979)"
372316081,372316081,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8145657, 39.2601612)"
372316082,372316082,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8154682, 39.2597144)"
372316576,372316576,Default,Undefined,Storm Water Inlet Drain,,,"(-6.814737, 39.2608752)"
372316577,372316577,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8147643, 39.2607443)"
372559005,372559005,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8127307, 39.2732262)"
372559006,372559006,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8127296, 39.2733342)"
372591765,372591765,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8138601, 39.2704356)"
372591766,372591766,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8127371, 39.2705135)"
372593293,372593293,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8076091, 39.2575333)"
372676213,372676213,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8194528, 39.2493056)"
372676214,372676214,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8183493, 39.2489823)"
372676215,372676215,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8188908, 39.2491356)"
372676393,372676393,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8186692, 39.2501698)"
372678816,372678816,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8090947, 39.2540745)"
372678817,372678817,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8082922, 39.2526405)"
372678818,372678818,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8090056, 39.2539142)"
372678819,372678819,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8087142, 39.253355)"
372678820,372678820,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8089924, 39.2538847)"
372678821,372678821,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8092384, 39.2541122)"
372678822,372678822,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8084415, 39.2526696)"
372678823,372678823,Default,Undefined,Storm Water Inlet Drain,,,"(-6.808971, 39.2533844)"
372791503,372791503,Default,Undefined,Storm Water Inlet Drain,,,"(-6.808647, 39.2585706)"
372791504,372791504,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8088683, 39.2586593)"
372797634,372797634,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8118741, 39.2593367)"
372797635,372797635,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8130823, 39.2593762)"
372797636,372797636,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8118491, 39.2593103)"
372798588,372798588,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8104845, 39.2594497)"
372802792,372802792,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8103578, 39.2595449)"
372836393,372836393,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8153249, 39.2718775)"
372836395,372836395,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8150703, 39.2729771)"
372836397,372836397,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8153596, 39.2720116)"
372836400,372836400,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8150788, 39.2729988)"
372836402,372836402,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8153697, 39.2720008)"
372836405,372836405,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8153405, 39.2720926)"
372836407,372836407,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8152221, 39.2724978)"
372836409,372836409,Default,Undefined,Storm Water Inlet Drain,,,"(-6.815437, 39.273049)"
372860120,372860120,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8169991, 39.2712417)"
380543954,380543954,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272258, 39.261653)"
380544313,380544313,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8288541, 39.2552017)"
380544314,380544314,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8288437, 39.2552721)"
380544315,380544315,Default,Undefined,Storm Water Inlet Drain,,,"(-6.829025, 39.2545153)"
380544317,380544317,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8287198, 39.2558021)"
380719206,380719206,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8275381, 39.2676718)"
380728535,380728535,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8286057, 39.2619754)"
381243030,381243030,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8285231, 39.2559392)"
381348687,381348687,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8289285, 39.2544059)"
381348691,381348691,Default,Undefined,Storm Water Inlet Drain,,,"(-6.829014, 39.2541076)"
381350453,381350453,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8291223, 39.2536487)"
381350456,381350456,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8290283, 39.2540629)"
381350460,381350460,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8291366, 39.2535913)"
381350463,381350463,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8292112, 39.2532929)"
381433785,381433785,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272875, 39.2535453)"
381433786,381433786,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8263464, 39.2533604)"
381433787,381433787,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8258044, 39.2531978)"
381433788,381433788,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8258044, 39.2532497)"
381433789,381433789,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8262486, 39.2532486)"
381433790,381433790,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272141, 39.2533641)"
381434603,381434603,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272855, 39.2556341)"
381434604,381434604,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8274143, 39.2558781)"
381436114,381436114,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8267692, 39.2586471)"
381436117,381436117,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8267531, 39.2585703)"
381436169,381436169,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8274457, 39.2556454)"
381436170,381436170,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8284986, 39.2557699)"
381439113,381439113,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8268694, 39.2558935)"
381439653,381439653,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8273936, 39.25587)"
382194795,382194795,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8246734, 39.2623047)"
382194796,382194796,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8246388, 39.262235)"
382194797,382194797,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8248953, 39.2627534)"
382194798,382194798,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8248379, 39.2623602)"
382194799,382194799,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8246356, 39.2622349)"
382194800,382194800,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8245698, 39.2610797)"
382194801,382194801,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8267367, 39.2611452)"
382194802,382194802,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8267732, 39.2612312)"
382205579,382205579,Default,Undefined,Storm Water Inlet Drain,,,"(-6.825639, 39.2640871)"
382205580,382205580,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8264437, 39.2612869)"
382205581,382205581,Default,Undefined,Storm Water Inlet Drain,,,"(-6.826349, 39.261336)"
382205582,382205582,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272553, 39.2610796)"
382205584,382205584,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8270847, 39.261653)"
382205585,382205585,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8255204, 39.2634324)"
382205586,382205586,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8258454, 39.2643161)"
382205588,382205588,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8239727, 39.2609531)"
382205589,382205589,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8271948, 39.2612704)"
382205590,382205590,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8251817, 39.2628654)"
382205591,382205591,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8239122, 39.2603388)"
382205592,382205592,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8268414, 39.2625743)"
382205594,382205594,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8260434, 39.2614863)"
382205595,382205595,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8259019, 39.2615587)"
382205596,382205596,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8267684, 39.2628858)"
382205597,382205597,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8263222, 39.2645245)"
382207220,382207220,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8282736, 39.2596454)"
382207221,382207221,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8292635, 39.259906)"
382207222,382207222,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8281753, 39.259554)"
382207223,382207223,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8291967, 39.2596709)"
382400806,382400806,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8284986, 39.2560075)"
382400807,382400807,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8279117, 39.2584402)"
382401073,382401073,Default,Undefined,Storm Water Inlet Drain,,,"(-6.829025, 39.2545153)"
382401074,382401074,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8279294, 39.253986)"
382401075,382401075,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8256945, 39.2534874)"
382401076,382401076,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8257699, 39.2527247)"
382401077,382401077,Default,Undefined,Storm Water Inlet Drain,,,"(-6.828762, 39.2540472)"
382401078,382401078,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8287309, 39.255216)"
382401079,382401079,Default,Undefined,Storm Water Inlet Drain,,,"(-6.827777, 39.2536932)"
382401080,382401080,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8256885, 39.253565)"
382401081,382401081,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8289123, 39.2544942)"
382401084,382401084,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8260406, 39.2549863)"
382401090,382401090,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8279294, 39.2540472)"
382401093,382401093,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8250799, 39.2549543)"
382401180,382401180,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8280615, 39.2578283)"
382401181,382401181,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8273776, 39.2585371)"
382401182,382401182,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8280378, 39.2579292)"
382401183,382401183,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8279117, 39.2585385)"
382401184,382401184,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8278931, 39.2584244)"
382401314,382401314,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8272298, 39.2585977)"
382401697,382401697,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8289123, 39.2540472)"
382401698,382401698,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8274356, 39.255774)"
382402053,382402053,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8271948, 39.2611513)"
382403345,382403345,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8297585, 39.2520889)"
382403346,382403346,Default,Undefined,Storm Water Inlet Drain,,,"(-6.8288184, 39.255443)"
